Name,Address,Latitude,Longitude,Phone,Rating (/5),Type,Specialisation,Working Hours,Google Maps
Dr. Shivgunde's Dental Clinic,"Birajdar Shopping Complex, Near Garud Bungalow, Rupa Bhavani Rd, South Sadar Bazar, Solapur - 413003",17.6620424,75.9068831,+91 91727 10499,5.0,Dental Clinic,Dentistry / Braces / Root Canal / Extractions,Mon-Sat: 10:00 AM - 8:00 PM | Sun: Closed,Open Map ?
Balaji Dental Clinic,"B-5, Kuber Chambers, Below IDBI Bank, Opp. Inchagiri M, Swami Vivekanand Nagar 2, Solapur - 413004",17.6350573,75.8975065,+91 80878 01649,5.0,Dental Clinic,Dentistry / Dental Implants / Root Canal / Orthodontics,Mon-Sat: 9:00 AM - 9:00 PM | Sun: 9:00 AM - 2:00 PM,Open Map ?
Kshirsagar Speciality Clinic,"Crown Residency, Near Aggarwal Nursing Home, Railway Lines, Solapur - 413001",17.6645119,75.8958468,+91 86054 59707,5.0,Speciality Clinic,Internal Medicine / Diabetes / Thyroid / Spine,Mon-Fri: 11:30 AM - 6:30 PM | Sat: 11:30 AM - 6:00 PM | Sun: Closed,Open Map ?
Dr. Sachin's Dental Clinic,"Kshirsagar Multicare Clinic, Crown Residency, Opp. Goodluck Store, Railway Lines, Solapur - 413001",17.6645865,75.8958271,,5.0,Dental Clinic,Dentistry / Root Canal / Scaling / Polishing,Mon-Sat: 10:00 AM - 8:00 PM |Thu: 4:00-8:00 PM | Sun: Closed,Open Map ?
Hawaldar's Anantan Neuro & Maternity Hospital,"Salim Complex, 131, Civil Chowk, Sidheshwar Peth, Solapur - 413003",17.6663089,75.9109596,,5.0,Maternity Hospital,Gynaecology / Maternity / Neurology / Obstetrics,Open 24 Hours (All Days),Open Map ?
Dond Speciality Dental Clinic,"Ashwini Hospital Road, South Sadar Bazar, Keshav Nagra, Solapur - 413003",17.662091,75.9071464,+91 96042 61565,5.0,Dental Clinic,Dentistry / Root Canal / Implants / General Medicine,Mon-Sat: 12:00 PM - 8:00 PM | Sun: Closed,Open Map ?
SHWAS Chest Clinic  Dr. Suyash Patil,"Infront of 1st Church, South Sadar Bazar, Rangbhavan, Keshav Nagra, Solapur - 413003",17.6634022,75.9073065,+91 75889 95591,5.0,Speciality Clinic,Pulmonology / Chest & Respiratory Medicine,Mon-Sat: 10:00 AM - 7:00 PM | Sun: Closed,Open Map ?
SHIFA Nisargopachar Kendra (Ayurvedic),"Painter Chowk, 89, Shaniwar Peth, Solapur - 413002",17.6734681,75.9104828,+91 94056 07828,5.0,Ayurvedic Clinic,Ayurveda / Piles / Kidney Stone / Naturopathy,Mon-Sat: 10:00 AM - 8:30 PM | Sun: Closed,Open Map ?
Ramkrishna Eye Hospital,"Above Hotel Spice and Ice, Dufferien Chowk, Opp. Damani Blood Bank, Solapur - 413001",17.6671692,75.9022204,+91 88880 50871,5.0,Eye Hospital,Ophthalmology / Cataract Surgery / Retina / LASIK,Mon-Sat: 9:00 AM - 5:30 PM | Sun: Closed,Open Map ?
Dr. Neha's Maternity Hospital,"Siddhajin Housing Society, 1/A, Behind Croma Showroom, Dharamsi Lane, Murarji Peth, Solapur - 413002",17.6812857,75.8950196,+91 75583 00637,5.0,Maternity Hospital,Gynaecology / Maternity / Obstetrics,Open 24 Hours (All Days),Open Map ?
