Disease,Symptoms
Malaria,"Fever, Jaundice, Fever that comes and goes"
Dengue,"Fever, Joint pain"
Typhoid,Fever
Tuberculosis,"Persistent cough, Swollen lymph nodes, Loss of appetite, Night sweats, Weight loss, Productive cough, Excessive sweating, Bloody sputum, Swollen lymph nodes, Unexplained weight loss, Coughing up blood (Hemoptysis), Fever that comes and goes"
Bronchitis,"Persistent cough, Wheezing, Dry cough, Productive cough, Coughing up thick phlegm"
COVID-19,"Persistent cough, Dry cough, Change in taste, Loss of taste, Change in smell, Loss of smell"
Chikungunya,Joint pain
Arthritis,"Joint pain, Clicking jaw, Wrist pain, Finger pain, Shoulder stiffness, Hip pain, Knee clicking, Elbow pain, Difficulty walking, Difficulty reaching overhead, Difficulty gripping objects, Reduced range of motion in joints"
Chickenpox,Skin rash
Measles,Skin rash
Allergic dermatitis,Skin rash
Migraine,"Headache, Sensitivity to light"
Sinusitis,"Headache, Nasal congestion, Ear pain, Facial pain, Runny nose, Stuffy nose, Postnasal drip, Itchy nose, Change in smell, Bad breath, Facial pain"
Hypertension,"Headache, Blood pressure fluctuations, Erectile dysfunction, Nose bleeding"
Gastritis,"Abdominal pain, Vomiting, Nausea, Abdominal bloating, Excessive belching, Sour taste in mouth, Pain after eating, Indigestion"
Appendicitis,"Abdominal pain, Abdominal rigidity, Rebound tenderness in abdomen, Abdominal guarding"
Food poisoning,"Abdominal pain, Diarrhea, Vomiting"
Gastroenteritis,Diarrhea
Cholera,Diarrhea
Viral infection,"Vomiting, Swollen lymph nodes, Mouth ulcers, Sudden hearing loss, General malaise (feeling unwell)"
Anemia,"Fatigue, Dizziness, Palpitations, Cold hands and feet, Pale skin, Dark circles under eyes, Decreased exercise tolerance, Feeling faint, Increased sensitivity to cold, Cold intolerance, Shortness of breath with exertion, Feeling cold all the time, General malaise (feeling unwell)"
Hypothyroidism,"Fatigue, Constipation, Cold hands and feet, Dry skin, Excessive sleepiness, Puffy eyes, Hair thinning, Unexplained weight gain, Developmental delay, Delayed teething, Short stature, Hair thinning, Brittle hair, Slow speech, Increased sensitivity to cold, Cold intolerance, Feeling cold all the time, Low body temperature (Hypothermia), Slow growth in children"
Chronic fatigue syndrome,"Fatigue, Loss of interest in activities, Lack of motivation, General malaise (feeling unwell)"
Asthma,"Difficulty breathing, Wheezing, Dry cough, Chest tightness, Chronic cough (more than 8 weeks)"
Pneumonia,"Difficulty breathing, Chest pain, Productive cough, Bloody sputum, Hiccups, Shortness of breath at rest, Rapid breathing (Tachypnea), Coughing up thick phlegm"
COPD,"Difficulty breathing, Wheezing, Cyanosis, Decreased exercise tolerance, Shortness of breath with exertion, Chronic cough (more than 8 weeks)"
Pharyngitis,Sore throat
Tonsillitis,Sore throat
Common cold,"Sore throat, Nasal congestion, Runny nose, Stuffy nose, Sneezing"
Allergic rhinitis,"Nasal congestion, Mouth breathing"
Angina,"Chest pain, Chest pressure, Chest tightness, Burning sensation in chest, Pain radiating to arm/jaw/back"
Gastroesophageal reflux,"Chest pain, Halitosis, Hiccups, Excessive belching, Excessive salivation, Postnasal drip, Excessive crying in infants"
Vertigo,"Dizziness, Balance problems, Room spinning sensation"
Low blood pressure,Dizziness
Lymphoma,"Swollen lymph nodes, Night sweats, Swollen lymph nodes, Enlarged tonsils, Fever that comes and goes"
Hepatitis,"Jaundice, Loss of appetite, Yellow skin, Yellow eyes, Decreased appetite"
Liver cirrhosis,"Jaundice, Swelling in abdomen (Ascites)"
Hemorrhoids,"Blood in stool, Anal bleeding, Rectal pain, Rectal itching, Feeling of pressure in rectum, Straining during bowel movements"
Colorectal cancer,"Blood in stool, Anal bleeding"
Dysentery,Blood in stool
Urinary tract infection,"Burning urination, Frequent urination, Blood in urine, Painful urination, Bedwetting, Frequent urination in children, Bedwetting, Urinary incontinence, Urgency to urinate, Cloudy urine, Foul-smelling urine, Pink or cola-colored urine, Bedwetting (Enuresis) beyond age 5"
Kidney stones,"Burning urination, Back pain, Blood in urine, Painful urination, Flank pain, Groin pain, Cloudy urine, Pink or cola-colored urine"
Prostatitis,"Burning urination, Painful ejaculation, Premature ejaculation, Painful ejaculation, Blood in semen"
Muscle strain,"Back pain, Stiff neck, Flank pain, Groin pain, Neck stiffness, Back stiffness, Muscle soreness after exercise, Sharp chest pain"
Herniated disc,"Back pain, Lower back pain"
Ear infection,"Ear pain, Ringing in ears, Hearing loss, Excessive crying in infants, Head tilting"
Swimmer's ear,Ear pain
Cataract,Blurred vision
Glaucoma,"Blurred vision, Red eyes, Eye pain, Tunnel vision, Blind spots in vision, Halos around lights"
Diabetic retinopathy,"Blurred vision, Distorted vision (straight lines appear wavy)"
Depression,"Loss of appetite, Memory problems, Insomnia, Excessive sleepiness, Erectile dysfunction, Decreased appetite, Social withdrawal, Monotone voice, Difficulty concentrating, Difficulty planning or organizing, Irritability, Feeling hopeless, Feeling worthless, Loss of interest in activities, Social isolation, Obsessive thoughts, Feeling emotionally numb, Lack of motivation, Poor hygiene, Decreased libido"
Menopause,"Night sweats, Excessive sweating, Heat intolerance, Vaginal dryness, Feeling hot all the time"
Motion sickness,Nausea
Pregnancy,"Nausea, Missed periods, Increased appetite, Swollen gums, Varicose veins, Craving non-food items (Pica), Metallic taste in mouth, Food aversion, Heartburn, Stretch marks (Striae)"
Vitamin D deficiency,"Muscle weakness, Muscle cramps, Frequent fractures, Growing pains, Bowlegs, Delayed teething, Pain in the legs, Bow legs in children"
Myasthenia gravis,"Muscle weakness, Facial weakness, Drooping eyelid, Droopy eyelid (Ptosis)"
Thyroid disorders,"Muscle weakness, Hair loss, Premature ejaculation, Brittle nails, Hair loss, Premature graying, Irregular periods"
